id	topic	doc	weight
7	0	The customer is frustrated with a high water bill, suspecting a leak or technical issue, and is dissatisfied with the lack of resolution.	1.0000001192092896
13	0	The customer is frustrated with a high bill amount and lack of clarity on charges, seeking assistance but not receiving satisfactory support.	1.000000238418579
25	0	The customer is dissatisfied with a high bill and seeks confirmation and resolution, but the issue remains unresolved.	1.0
34	0	The customer is frustrated with an unusually high bill and suspects a meter issue, seeking resolution.	1.0003174543380737
45	0	The customer is dissatisfied with the high bill amount and issues with email notifications for the bill. They are also concerned about increased consumption and discrepancies in previous bills.	0.863241970539093
46	0	The customer is concerned about high billing amounts and seeks clarification on the calculation of charges.	1.000000238418579
57	0	The customer is experiencing issues with high water bills and is frustrated with the lack of resolution and unclear communication regarding the meter and billing process.	1.000000238418579
59	0	The customer is concerned about an unexpected increase in their electricity bill and seeks clarification on the discrepancy.	1.0000001192092896
62	0	The customer is experiencing unexpected high water bills and is concerned about the lack of notification regarding increased consumption.	1.0
70	0	The customer is experiencing issues with an increased electricity bill and is seeking clarification on the charges. Despite previous communication, the problem remains unresolved, causing frustration.	1.0000474452972412
74	0	The customer is frustrated with a high electricity bill and unresolved issues regarding service charges and account management. Despite multiple attempts to contact support, the problem remains unresolved.	1.0000003576278687
76	0	The customer is concerned about a significant increase in their service bill and suspects incorrect meter readings. They request a consumption verification to resolve the issue.	1.000170350074768
84	0	The customer is frustrated with unexpected high electricity bills and unresolved service issues despite contacting customer support.	1.0
92	0	The customer is frustrated with unexpectedly high bills and lack of clear communication regarding charges and notifications.	1.0
100	0	The customer is concerned about unexpected increases in electricity bills and discrepancies in billing amounts.	1.0
101	0	The customer is concerned about a high bill amount and seeks clarification.	0.9999999403953552
104	0	The customer is experiencing issues with meter readings and consumption data, leading to billing discrepancies. They are frustrated with the lack of resolution and clarity from the service provider.	1.0
108	0	The customer is concerned about a discrepancy in their bill amount and unresolved issues with electricity charges, despite previous attempts to resolve them.	1.0
112	0	The customer received an incorrect bill due to a meter reading error, resulting in a higher charge than usual. Despite a technician confirming the error, the issue remains unresolved, causing frustration.	0.5636258721351624
113	0	The customer is frustrated with billing issues and lack of communication regarding electricity charges and account status.	1.0002522468566895
118	0	The customer is frustrated with billing issues, unexpected charges, and lack of resolution despite previous attempts to address the problem.	1.000065803527832
119	0	The customer is frustrated with a high electricity bill and lack of response from the service provider.	1.0
129	0	The customer is concerned about an unexpected increase in their electricity bill and suspects a meter issue. They request a consumption verification and express dissatisfaction with the billing process.	1.0
130	0	The customer is concerned about an unusually high water bill and suspects a meter issue or leakage. They have not received the bill and are frustrated with the unexpected charges.	1.0000483989715576
131	0	The customer is experiencing issues with increasing bills and is confused about the charges. They are seeking verification of meter readings and resolution of billing discrepancies.	1.000000238418579
161	0	The customer is concerned about high electricity bills and seeks clarification on consumption and billing discrepancies.	1.0
162	0	The customer is unhappy with the electricity and water billing, suspecting overcharges and seeking verification. The agent attempts to assist but the customer remains dissatisfied with the resolution process.	1.0001296997070312
163	0	The customer is frustrated with high electricity bills and believes there is an error in consumption calculation. Despite previous contact, the issue remains unresolved, and the customer is seeking clarification and resolution.	1.0
178	0	The customer is experiencing incorrect charges on their DEWA bill and is seeking verification of consumption data.	1.0002989768981934
15	1	The customer is experiencing issues with electricity bill payment and service disconnection, seeking resolution and clarification on charges.	1.0002645254135132
17	1	The customer received a high electricity bill and is confused about the charges, seeking clarification and resolution.	1.0
18	1	The customer is frustrated with unexpected billing charges and unclear billing cycle information.	1.0002992153167725
19	1	The customer is facing issues with broadband billing and account activation, expressing dissatisfaction with the process and charges.	1.000000238418579
20	1	The customer is frustrated with recurring billing issues and discrepancies in charges, seeking clarification and resolution.	1.0003143548965454
27	1	The customer received a high bill and is confused about the charges, seeking clarification using their account number.	1.0
35	1	The customer is unhappy with the billing and consumption details, seeking clarification on charges and account status.	1.0
36	1	The customer is unhappy with the billing process, questioning charges and consumption after paying a bill online. They express confusion over additional charges and seek clarification on the final bill amount.	1.0000004768371582
39	1	The customer is unhappy with a higher than expected bill amount and confusion over the billing details, seeking clarification.	1.0
40	1	The customer is concerned about higher water and electricity consumption charges while being out of the country and seeks clarification on the billing issue.	1.0002963542938232
48	1	The customer is frustrated with the refund process and unclear policy regarding security deposits, expressing dissatisfaction with high bills and unresolved issues.	0.5248910784721375
49	1	The customer is frustrated with discrepancies in the electricity bill and additional charges, seeking clarification and resolution.	1.0
54	1	The customer is frustrated with billing issues and unclear information regarding the electricity bill amount.	1.0
55	1	The customer is frustrated with billing issues and service charges, seeking resolution for discrepancies in electricity bills and service fees.	1.0
56	1	The customer is frustrated with a high electricity bill and seeks clarification on the charges, expressing dissatisfaction with the unexpected increase.	1.0
60	1	The customer is frustrated with billing issues and unclear charges, seeking clarification and resolution.	1.0
61	1	The customer is frustrated with a high bill and payment issues, seeking resolution and reconnection.	1.0
65	1	The customer is experiencing issues with billing and payment, specifically regarding an incorrect amount and electricity charges.	0.9999998211860657
68	1	The customer is experiencing issues with electricity billing, including discrepancies in the amounts and unresolved payment status.	1.0
79	1	The customer is experiencing issues with billing discrepancies and high charges, seeking clarification and resolution.	1.0003851652145386
86	1	The customer is frustrated with billing discrepancies and unclear charges, seeking resolution for high amounts due.	1.0
93	1	The customer is frustrated with incorrect consumption charges and unresolved billing issues, seeking clarification and resolution.	1.0
98	1	The customer reports unexpectedly high bills while traveling, indicating dissatisfaction.	1.0002739429473877
99	1	The customer is concerned about high bills and unclear charges, seeking clarification and resolution.	1.0
103	1	The customer is frustrated with unexpected high billing amounts and unclear responsibility for payment, seeking resolution or discount.	1.0000001192092896
109	1	The customer reports unexpectedly high bills while traveling, indicating dissatisfaction.	1.0
115	1	The customer is concerned about a charge labeled 'DEWA' on their bill, which exceeds their actual water and electricity consumption.	1.0001897811889648
116	1	The customer is concerned about a charge labeled 'DEWA' on their bill, which exceeds their actual water and electricity consumption.	1.0001897811889648
120	1	The customer is concerned about a high bill amount and unexpected housing fees, seeking clarification on billing details.	0.9999999403953552
126	1	The customer is concerned about the delay in bill generation and discrepancies in billing information.	1.0
128	1	The customer received an unexpectedly high bill and faced issues with understanding the breakdown and payment process online.	1.0000001192092896
136	1	The customer is concerned about a high bill and additional reconnection charges, suspecting errors compared to a neighbor's bill.	1.0
144	1	The customer is experiencing issues with electricity billing and service charges, expressing dissatisfaction with the resolution process and unclear charges.	1.0
154	1	The customer is frustrated with unexpected high billing amounts and unclear explanations regarding their electricity bill. They express dissatisfaction with the billing process and seek clarification on the charges.	1.0
165	1	The customer is frustrated with the delay in electricity activation and high charges, seeking faster service.	1.0
166	1	The customer is frustrated with billing issues and unclear information regarding electricity consumption and charges.	1.0003318786621094
170	1	The customer is concerned about a high bill and additional reconnection charges, suspecting errors compared to a neighbor's bill.	1.0
179	1	The customer is confused and frustrated about a high bill received.	1.0
85	3	The customer is facing an issue with their electricity bill, which unexpectedly amounts to six thousand dirhams, and seeks assistance.	1.0
96	4	The customer is concerned about a significant increase in their Dubai studio bill, which jumped from around 200 to over 700 AED. They are seeking clarification and resolution for the unexpected charges.	1.0
172	5	The customer is confused about a high electricity bill for a property with minimal usage and suspects incorrect meter readings. They express dissatisfaction with the billing process and seek clarification.	1.000004768371582
1	6	The customer is unhappy with a high bill for a short stay at Hessa Residence and questions the consumption level.	1.000000238418579
158	8	The customer is concerned about high electricity bills despite living in a small studio and questions the accuracy of consumption readings.	1.0
21	9	The customer is unhappy about an unexplained increase in their DEWA bill and seeks assistance.	1.0
52	9	The customer is unhappy with the high municipality bill and seeks clarification on consumption verification options.	1.0
71	9	The customer is concerned about a high bill on a newly purchased unit and seeks verification of consumption.	1.0
97	9	The customer is concerned about a high bill despite paying earlier and seeks clarification on consumption and billing discrepancies.	1.0
105	9	The customer is concerned about a high electricity bill from Dubai Municipality and seeks clarification on the charges. The account is under a previous owner's name, causing confusion in billing and payment responsibilities.	0.6181661486625671
125	9	The customer, Adel Mahdood Saleh, is unhappy with a billing issue and seeks clarification on a high bill despite being out of the country. The agent suggests contacting Dubai Municipality for further assistance.	1.0
80	10	The customer is confused about receiving a high bill and having two account numbers, one of which is closed. They compare their bill with neighbors and express dissatisfaction with the unclear billing process.	1.0
83	11	The customer is concerned about a high bill for 15 days after moving into a new apartment and requests a breakdown and consumption verification.	0.9999998211860657
121	12	The customer is concerned about a significant increase in their electricity bill, which is usually around 65 AED but has risen to 600 AED. They are seeking clarification and resolution for this discrepancy.	1.0
29	13	The customer is experiencing unusually high bills for the past seven to eight months despite checking for leaks or issues. They are frustrated and seeking assistance to resolve the billing problem.	1.0
88	14	The customer expresses dissatisfaction with the high cost of their DEWA bill.	1.0
9	15	The customer is concerned about receiving a high electricity bill for a studio apartment despite limited AC usage.	1.0
